,loss,lr
0,0.9557538032531738,0.002
1,0.8334352374076843,0.002
2,0.6753280162811279,0.002
3,0.5680582523345947,0.002
4,0.5080274939537048,0.002
5,0.4698761999607086,0.002
6,0.43852710723876953,0.002
7,0.40966349840164185,0.002
8,0.3824531137943268,0.002
9,0.36201220750808716,0.002
10,0.34201836585998535,0.002
11,0.3254677653312683,0.002
12,0.3117058277130127,0.002
13,0.2974482476711273,0.002
14,0.28595152497291565,0.002
15,0.2753273844718933,0.002
16,0.26697179675102234,0.002
17,0.2572742998600006,0.002
18,0.24956034123897552,0.002
19,0.24361205101013184,0.002
20,0.23732785880565643,0.002
21,0.2319587618112564,0.002
22,0.22597360610961914,0.002
23,0.22141937911510468,0.002
24,0.21636560559272766,0.002
25,0.21173332631587982,0.002
26,0.20799057185649872,0.002
27,0.20333418250083923,0.002
28,0.199551522731781,0.002
29,0.19554878771305084,0.002
30,0.19275161623954773,0.002
31,0.18980799615383148,0.002
32,0.18531274795532227,0.002
33,0.18307767808437347,0.002
34,0.20787470042705536,0.002
35,0.18678870797157288,0.002
36,0.1774619221687317,0.002
37,0.17358189821243286,0.002
38,0.17055049538612366,0.002
39,0.16859062016010284,0.002
40,0.16625967621803284,0.002
41,0.16410906612873077,0.002
42,0.16345632076263428,0.002
43,0.16013415157794952,0.002
44,0.1577058881521225,0.002
45,0.15511897206306458,0.002
46,0.15497730672359467,0.002
47,0.15275916457176208,0.002
48,0.15049807727336884,0.002
49,0.14875471591949463,0.002
50,0.14660120010375977,0.002
51,0.1440972238779068,0.002
52,0.1431605964899063,0.002
53,0.1413494199514389,0.002
54,0.1394466906785965,0.002
55,0.13809193670749664,0.002
56,0.136575847864151,0.002
57,0.1358138918876648,0.002
58,0.13367047905921936,0.002
59,0.13252167403697968,0.002
60,0.1315799504518509,0.002
61,0.1304875612258911,0.002
62,0.13057661056518555,0.002
63,0.12876121699810028,0.002
64,0.12588118016719818,0.002
65,0.12436220794916153,0.002
66,0.12395928055047989,0.002
67,0.12389622628688812,0.002
68,0.1242128536105156,0.002
69,0.12272483855485916,0.002
70,0.12120985984802246,0.002
71,0.12036757171154022,0.002
72,0.11904429644346237,0.002
73,0.1176188588142395,0.002
74,0.11838044226169586,0.002
75,0.1168256551027298,0.002
76,0.11527010798454285,0.002
77,0.11886326223611832,0.002
78,0.11561711877584457,0.002
79,0.11425125598907471,0.002
80,0.11265037953853607,0.002
81,0.11287349462509155,0.002
82,0.11185924708843231,0.002
83,0.11078263074159622,0.002
84,0.10968977957963943,0.002
85,0.10953479260206223,0.002
86,0.1087542176246643,0.002
87,0.10806873440742493,0.002
88,0.10736600309610367,0.002
89,0.10705490410327911,0.002
90,0.10611464828252792,0.002
91,0.10611535608768463,0.002
92,0.10660365968942642,0.002
93,0.10601763427257538,0.002
94,0.10630534589290619,0.002
95,0.10482185333967209,0.002
96,0.10609015077352524,0.002
97,0.10691651701927185,0.002
98,0.10911532491445541,0.002
99,0.10917622596025467,0.002
100,0.10610736161470413,0.002
101,0.10323368012905121,0.002
102,0.10081163793802261,0.002
103,0.1335258036851883,0.002
104,0.10925605148077011,0.002
105,0.10232711583375931,0.002
106,0.10087303072214127,0.002
107,0.10289758443832397,0.002
108,0.09831427037715912,0.002
109,0.09772737324237823,0.002
110,0.09639175981283188,0.002
111,0.09565484523773193,0.002
112,0.09505070745944977,0.002
113,0.09468864649534225,0.002
114,0.0948396623134613,0.002
115,0.09386686235666275,0.002
116,0.09422287344932556,0.002
117,0.09435462951660156,0.002
118,0.09343621134757996,0.002
119,0.0931406319141388,0.002
120,0.10627120733261108,0.002
121,0.09547596424818039,0.002
122,0.09316612035036087,0.002
123,0.09146666526794434,0.002
124,0.0912243127822876,0.002
125,0.09186441451311111,0.002
